Time,Height,HeightError,MaxWidth,MaxWidthError,VelocityInst,VelocityInstError,VelocityAvg,VelocityAvgError,AccelerationInst,AccelerationInstError,AccelerationAvg,AccelerationAvgError
116,1517.80511615953,149.190345844318,1050.87575881846,127.819300045571,20.130476262962,297.779121607775,13.0845268634442,1.2861236710717,10.0808542829627,0.901876127550167,0.112797645374519,0.0110872730264802
117,1532.93047415899,149.642366901018,1059.87479089585,128.08449469318,15.1253579994618,298.832712745335,13.1019698646068,1.27899458889759,-5.00511826350021,1.05359113756049,0.111982648415443,0.0109315776828854
118,1548.07956943266,150.095115986978,1067.60467278601,129.180013483218,15.1490952736604,299.737482887996,13.1193183850225,1.27199250836422,0.0237372741985382,0.904770142660709,0.111180664279852,0.0107795975285104
119,1558.19222743477,150.397355420018,1075.74136454474,129.997627989081,10.1126580021155,300.492471406997,13.0940523313846,1.2638433228573,-5.03643727154486,0.75498851900079,0.110034053204913,0.0106205321248512
120,1568.31554622463,150.699921801007,1080.22640407627,130.1298158845,10.1233187898606,301.097277221025,13.0692962185386,1.25583268167506,0.0106607877451097,0.604805814028168,0.108910801821155,0.0104652723472921
121,1588.59434482951,151.306040852356,1078.54691758237,131.234335947617,20.2787986048825,302.005962653363,13.1288788828885,1.25046314754013,10.1554798150219,0.908685432337961,0.108503131263542,0.0103344061780176
122,1608.91632410753,151.913484079764,1092.4001810335,131.354354505906,20.3219792780201,303.219524932121,13.1878387221929,1.24519249245709,0.0431806731376128,1.21356227875776,0.108097038706499,0.0102064958398122
123,1619.09361931953,152.217705698847,1101.50305016112,125.536825293041,10.1772952119968,304.131189778612,13.1633627586954,1.23754232275486,-10.1446840660233,0.911664846491021,0.107019209420288,0.010061319697194
124,1634.38007174065,152.67466702562,1110.51050475049,125.802258265275,15.286452421115,304.892372724467,13.1804844495213,1.23124731472274,5.10915720911817,0.76118294585558,0.106294229431624,0.00992941382840921
125,1639.4810478979,152.827155868913,1137.49925299393,126.59760604896,5.10097615725408,305.501822894533,13.1158483831832,1.22261724695131,-10.1854762638609,0.609450170065884,0.104926787065466,0.00978093797561044
126,1659.91256520162,153.437957900192,1155.46403647424,127.127053941679,20.4315173037248,306.265113769105,13.1739092476319,1.21776157063644,15.3305411464708,0.763290874571794,0.104554835298666,0.0096647743701305
127,1670.14497191764,153.74386936433,1170.62878954564,129.319139164623,10.2324067160203,307.181827264521,13.1507478103752,1.21058164853803,-10.1991105877046,0.916713495416388,0.103549195357285,0.00953213896486637
128,1690.64331246871,154.35672023433,1181.43447625406,128.47476262538,20.4983405510616,308.10058959866,13.2081508786618,1.20591187683071,10.2659338350413,0.918762334138592,0.103188678739545,0.00942118653773989
129,1706.04658705469,154.817263415795,1196.52141165441,130.663000292415,15.4032745859827,309.173983650126,13.2251673415092,1.20013382492864,-5.0950659650789,1.07339405146558,0.102520677065963,0.00930336298394298
130,1711.18666572712,154.970951145069,1196.52141165441,130.663000292415,5.14007867243072,309.788214560864,13.1629743517471,1.19208423957745,-10.263195913552,0.61423091073857,0.101253648859593,0.00916987876598041
131,1731.77540584776,155.586573509943,1222.34025207609,132.004233451253,20.5887401206451,310.557524655012,13.2196595866242,1.18768376725148,15.4486614482144,0.769310094148295,0.100913431958963,0.0090662882996296
132,1742.086913629,155.894910076842,1233.14921610275,131.162137600365,10.3115077812326,311.481483586786,13.197628133553,1.18102204603668,-10.2772323394124,0.923958931773313,0.0999820313147955,0.00894713671239912
133,1762.74444139159,156.512641203304,1249.04208152607,132.791475156845,20.657527762593,312.407551280146,13.253717604448,1.17678677596469,10.3460199813603,0.926067693360437,0.0996520120635191,0.00884802087191497
134,1773.09055658249,156.822038668073,1262.85897215389,132.908859156125,10.3461151908982,313.334679871376,13.2320190789738,1.17031372140353,-10.3114125716947,0.927128591230257,0.0987464110371179,0.00873368448808602
135,1783.44830306961,157.131792679468,1276.67327432759,133.026034389585,10.3577464871241,313.953831347541,13.210728170886,1.1639392050331,0.0116312962259144,0.619151476164461,0.0978572457102668,0.00862177188913407
136,1793.81772888438,157.441904703338,1294.42958926662,133.549595979,10.3694258147684,314.573697382806,13.1898362417969,1.15766106399513,0.0116793276442877,0.619866035265204,0.0969840900132126,0.00851221370584655
137,1814.59181148553,158.063208678668,1294.42958926662,133.549595979,20.7740826011536,315.505113382006,13.245195704274,1.1537460487494,10.4046567863852,0.931415999199771,0.0966802606151385,0.00842150400547009
138,1824.99656520071,158.3744035887,1301.32682767385,134.91275462299,10.4047537151791,316.437612267368,13.2246127913095,1.14764060571521,-10.3693288859745,0.932498885361838,0.0958305274732574,0.00831623627329866
139,1835.4131921031,158.685962428409,1309.19859862357,135.72396548602,10.4166269023867,317.060366017108,13.2044114539791,1.14162562898136,0.0118731872075841,0.622753749740468,0.094995765855965,0.00821313402144861
140,1845.841741096,158.997886690703,1318.53938215239,135.709955708923,10.4285489929002,317.683849119111,13.1845838649714,1.13569919064788,0.011922090513508,0.623483102003092,0.0941755990355102,0.00811213707605626
141,1856.28226126009,159.310177873999,1327.38375919032,135.970785016495,10.4405201640843,318.308064564702,13.1651224202843,1.12985941754609,0.0119711711840864,0.62421544559038,0.0933696625552077,0.00801318735848292
142,1877.19941231737,159.935867024973,1335.227131458,136.780927782371,20.9171510572805,319.246044898972,13.2197141712491,1.12630892271108,10.4766308931962,0.937980334270151,0.093096578670768,0.00793175297683857
143,1887.67614226784,160.249268017294,1338.64905337281,137.460141122868,10.4767299504697,320.185135042267,13.2005324634114,1.12062425186919,-10.4404211068108,0.939090143295061,0.092311415828052,0.00783653322985447
144,1898.16504150609,160.563041979965,1341.08346586904,138.686914851408,10.4888992382535,320.812309997259,13.1817016771256,1.11502112486087,0.0121692877837631,0.62717495499237,0.091539594980039,0.00774320225597826
145,1908.66616001488,160.877190439406,1349.89543626202,138.946832685554,10.5011185087883,321.440232419371,13.1632148966543,1.10949786509935,0.0122192705348425,0.627922422112078,0.0907807923907195,0.0076517094144783
146,1929.70525569368,161.506616982789,1357.21855546889,140.027687691739,21.0390956788074,322.383807422195,13.2171592855732,1.10620970536157,10.5379771700191,0.943575002823309,0.0905284882573506,0.00757677880384634
147,1940.24333375097,161.821898148184,1357.71212663971,139.75409735008,10.5380780572855,323.328515130973,13.1989342432039,1.10082923910329,-10.5010176215219,0.944707708778196,0.0897886683211148,0.00748863427961425
148,1961.35680391793,162.453604013437,1364.04375450736,141.380306979501,21.1134701669589,324.275502161621,13.2524108372833,1.09765948657728,10.5753921096734,0.946987030648643,0.0895433164681304,0.00741661815254918
149,1971.93229803811,162.770031829621,1376.72375007339,142.041874487596,10.5754941201849,325.223635843058,13.2344449532759,1.09241632100417,-10.537976046774,0.948133681436957,0.0888217782099056,0.00733165316110181
150,1982.52036650554,163.086844988866,1376.23195496973,142.314731925718,10.5880684674275,325.856876818487,13.2168024433703,1.08724563325911,0.012574347242662,0.633240975428862,0.0881120162891352,0.00724830422172738
151,2003.73443259631,163.721633634182,1386.10739348434,139.437752063688,21.2140660907689,326.808478623048,13.2697644542802,1.08424922936544,10.6259976233414,0.951601804560369,0.0878792347965576,0.00718045847261882
152,2014.36053375801,164.039612284017,1393.88805655131,140.244533132736,10.6261011617034,327.761245918199,13.2523719326185,1.07920797555275,-10.5879649290655,0.952767295151489,0.0871866574514376,0.00710005247074175
153,2035.65113261537,164.676746192652,1402.67332624237,140.503701073382,21.2905988573534,328.716358476669,13.3049093634991,1.07631860256635,10.66449769565,0.955112558470091,0.086960191918295,0.00703476210827681
154,2046.31573501838,164.995904651514,1416.67772082582,142.933136382936,10.6646024030119,329.672650844165,13.2877645131064,1.07140197825658,-10.6259964543415,0.956292367496189,0.0862841851500413,0.00695715570296482
155,2056.99327620449,165.31545959032,1443.95902457613,143.162646560599,10.6775411861129,330.311364241834,13.2709243626096,1.06655135219562,0.0129387831009353,0.638713397668653,0.085618866855546,0.00688097646577816
156,2078.38738651927,165.955765375546,1452.19471813277,143.693442068178,21.3941103147781,331.271224965866,13.3229960674312,1.0638190088176,10.7165691286652,0.959860724032296,0.0854038209450719,0.00681935262062566
157,2089.10406194547,166.27651947141,1460.9376629255,143.951423647528,10.7166754262034,332.232284846956,13.3063952990158,1.05908611128287,-10.6774348885747,0.961059881089568,0.0847541101848137,0.00674577140944501
158,2110.57692059423,166.919238240297,1464.27844960239,144.625199104342,21.4728586487536,333.195757711707,13.3580817759128,1.05645087493859,10.7561832225501,0.963472864750656,0.0845448213665369,0.00668639794264928
159,2121.33321133108,167.241206200552,1468.64534540164,144.754061824418,10.7562907368574,334.160444440849,13.3417183102584,1.05183148553806,-10.7165679118962,0.964686729141931,0.0839101780519396,0.00661529236187461
160,2132.10281502788,167.563582080129,1467.61930403818,145.298458287242,10.7696036967991,334.804788280681,13.3256425939243,1.04727238800081,0.0133129599416861,0.644343839832572,0.0832852662120267,0.00654545242500505
161,2148.28230114995,168.04791438038,1474.81065539281,146.371717553411,16.1794861220651,335.611496460509,13.3433683301239,1.04377586571664,5.40988242526601,0.806708179827865,0.0828780641622603,0.00648307991128351
162,2164.4920476401,168.53317386322,1479.16958228724,146.500357476444,16.2097464901526,336.581088243599,13.3610620224698,1.04032823372358,0.0302603680875109,0.969591783090436,0.0824756914967269,0.00642177922051591
163,2186.15243474132,169.181638581113,1482.50642222446,147.172219388933,21.6603871012148,337.714812444333,13.4119781272473,1.03792416307431,5.45064061106223,1.13372420073347,0.0822820744002904,0.00636763290229641
164,2197.00306323628,169.506497055916,1481.99779937491,147.443706640944,10.8506284949672,338.688135637029,13.3963601416847,1.03357620156046,-10.8097586062477,0.973323192696171,0.0816851228151503,0.00630229391195404
165,2207.86738900778,169.831775204342,1489.18101685667,148.514441429002,10.8643257715012,339.338272260258,13.3810144788351,1.02928348608692,0.0136972765340033,0.650136623228491,0.0810970574474852,0.00623808173386012
166,2224.18968207999,170.320483047965,1491.50598019418,144.853464050322,16.322293072204,340.152258252307,13.3987330245782,1.02602700631304,5.45796730070288,0.813985992049311,0.0807152591842063,0.00618088558019905
167,2240.54310860769,170.810144781508,1504.59165448544,145.239632381494,16.3534265277003,341.130627829473,13.416425800046,1.02281523821262,0.0311334554962741,0.978369577166177,0.0803378790421919,0.00612464214498576
168,2262.39643601836,171.464520984797,1508.42635406094,145.640481114639,21.8533274106712,342.274665766305,13.4666454524902,1.02062214871903,5.49990088297091,1.14403793683232,0.0801586038838705,0.00607513183761329
169,2273.34412391342,171.792353230448,1511.21362794866,146.584998938096,10.9476878950572,343.256874215246,13.4517403781859,1.01652280018017,-10.905639515614,0.982208448940582,0.0795960969123426,0.00601492781171697
170,2284.305903958,172.120617231953,1517.88020034608,152.785152890234,10.961780044584,343.912970462401,13.4370935526941,1.01247421901149,0.0140921495267321,0.656096247155119,0.0790417267805537,0.00595573070006756
171,2295.28183344944,172.449314742894,1516.39227443809,153.594304670968,10.9759294914347,344.569931974846,13.4227007804061,1.00847552481224,0.0141494468507517,0.656961512445378,0.078495326201205,0.0058975176889605
172,2317.27637109143,173.108017342531,1525.04795990913,153.849852103871,21.9945376419955,345.557332085425,13.4725370412293,1.00644196129379,11.0186081505608,0.987400110578619,0.078328703728077,0.00585140675170806
173,2328.29509496986,173.438025973611,1528.87848990978,154.247061659989,11.0187238784274,346.546043316142,13.4583531501148,1.00253194204399,-10.9758137635681,0.988711230717172,0.0777939488445942,0.00579498232395372
174,2350.37574388089,174.099366807686,1536.53568830906,155.041008910275,22.0806489110309,347.537392781297,13.5079065740281,1.00057107360739,11.0619250326035,0.991349465154826,0.077631646977173,0.00575040846900799
175,2350.37574388089,174.099366807686,1562.8070557092,158.083384850467,0,348.198733615372,13.4307185364622,0.994853524615349,-22.0806489110309,0.661340834074963,0.0767469630654984,0.00568487728351628
176,2372.51438508321,174.762484367412,1562.8070557092,158.083384850467,22.1386412023157,348.861851175098,13.4801953697909,0.992968661178479,22.1386412023157,0.663117559726288,0.0765920191465394,0.00564186739305954
177,2394.71149075369,175.42739311025,1560.85825483512,159.156250601468,22.1971056704861,350.189877477662,13.5294434505858,0.991115215312147,0.0584644681703139,1.32802630256401,0.076437533619129,0.00559952099046411
178,2405.83211635248,175.760523725384,1568.49940369686,159.94641170169,11.1206255987836,351.187916835634,13.5159107660251,0.98741867261452,-11.0764800717025,0.998039357972175,0.0759320829551974,0.00554729591356472
179,2416.96753685038,176.094107611166,1585.70552390052,160.454592125698,11.1354204979052,351.85463133655,13.5026119377116,0.98376596430819,0.0147948991216253,0.666714500915987,0.075433586244199,0.0054958992419452
180,2439.28300315674,176.762642564027,1585.70552390052,160.454592125698,22.3154663063569,352.856750175193,13.5515722397597,0.982014680911259,11.1800458084517,1.00211883864222,0.0752865124431092,0.00545563711617366
